jid,phase,experiment_id,formulation,temperature_c,target_log_sigma,ionic_conductivity_s_cm,component_count,node_count,edge_count,salt_nodes,solvent_nodes
liquid_0097,liquid,PYA_30032021_BM057_3,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,-20.0,-6.482826463280505,0.0015463687464352,4,4,12,1,3
liquid_0098,liquid,PYA_30032021_BM057_3,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,-10.0,-6.12870445038895,0.0023573794913927,4,4,12,1,3
liquid_0099,liquid,PYA_30032021_BM057_3,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,0.0,-5.800511195534483,0.003229481841753,4,4,12,1,3
liquid_0100,liquid,PYA_30032021_BM057_3,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,10.0,-5.495499523223156,0.0043555157624237,4,4,12,1,3
liquid_0101,liquid,PYA_30032021_BM057_3,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,20.0,-5.211297107081796,0.0054728910876553,4,4,12,1,3
liquid_0102,liquid,PYA_30032021_BM057_3,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,30.0,-4.94584464417424,0.0067059760928836,4,4,12,1,3
liquid_0103,liquid,PYA_30032021_BM057_3,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,40.0,-4.697345875209366,0.0093191135029456,4,4,12,1,3
liquid_0104,liquid,PYA_30032021_BM057_3,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,50.0,-4.464226884611497,0.0105594469022151,4,4,12,1,3
liquid_0105,liquid,PYA_30032021_BM057_3,PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g,60.0,-4.245102730609627,0.014642888493187,4,4,12,1,3
liquid_0106,liquid,PYA_30032021_BM066_1,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,-30.0,-6.752406687717451,0.0010627602544561,4,4,12,1,3
liquid_0107,liquid,PYA_30032021_BM066_1,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,-20.0,-6.362065251600554,0.0017037588944756,4,4,12,1,3
liquid_0108,liquid,PYA_30032021_BM066_1,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,-10.0,-6.001390654633714,0.0024969104216789,4,4,12,1,3
liquid_0109,liquid,PYA_30032021_BM066_1,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,0.0,-5.667124594878431,0.0032720422254824,4,4,12,1,3
liquid_0110,liquid,PYA_30032021_BM066_1,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,10.0,-5.356469063800902,0.0049706895040847,4,4,12,1,3
liquid_0111,liquid,PYA_30032021_BM066_1,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,20.0,-5.067007838101337,0.0065875381244391,4,4,12,1,3
liquid_0112,liquid,PYA_30032021_BM066_1,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,30.0,-4.796643510023385,0.0112844385901247,4,4,12,1,3
liquid_0113,liquid,PYA_30032021_BM066_1,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,40.0,-4.543546582748749,0.0117964175967071,4,4,12,1,3
liquid_0114,liquid,PYA_30032021_BM066_1,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,50.0,-4.306114017366402,0.0118636462285355,4,4,12,1,3
liquid_0115,liquid,PYA_30032021_BM066_1,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,60.0,-4.082935245493425,0.0133863672364945,4,4,12,1,3
liquid_0116,liquid,PYA_30032021_BM066_3,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,-30.0,-6.199919986464513,0.0013906878869445,4,4,12,1,3
liquid_0117,liquid,PYA_30032021_BM066_3,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,-20.0,-5.860897866614161,0.0024189431495975,4,4,12,1,3
liquid_0118,liquid,PYA_30032021_BM066_3,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,-10.0,-5.547642200866058,0.0041548462904387,4,4,12,1,3
liquid_0119,liquid,PYA_30032021_BM066_3,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,0.0,-5.25732306565049,0.0064076680169943,4,4,12,1,3
liquid_0120,liquid,PYA_30032021_BM066_3,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,10.0,-4.98751031469878,0.0096414789866137,4,4,12,1,3
liquid_0121,liquid,PYA_30032021_BM066_3,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,20.0,-4.736105392568609,0.0155413613779753,4,4,12,1,3
liquid_0122,liquid,PYA_30032021_BM066_3,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,30.0,-4.501286643760568,0.0121329015830219,4,4,12,1,3
liquid_0123,liquid,PYA_30032021_BM066_3,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,40.0,-4.28146510068831,0.0117856007697304,4,4,12,1,3
liquid_0124,liquid,PYA_30032021_BM066_3,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,50.0,-4.075248480597471,0.0128184740205002,4,4,12,1,3
liquid_0125,liquid,PYA_30032021_BM066_3,PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g,60.0,-3.881411666605436,0.0153417168216594,4,4,12,1,3
liquid_0126,liquid,PYA_30032021_BM067_2,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,-30.0,-6.585151712302732,0.001139336021227,4,4,12,1,3
liquid_0127,liquid,PYA_30032021_BM067_2,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,-20.0,-6.24067227732275,0.0019755284108694,4,4,12,1,3
liquid_0128,liquid,PYA_30032021_BM067_2,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,-10.0,-5.92237406483792,0.0029753312533618,4,4,12,1,3
liquid_0129,liquid,PYA_30032021_BM067_2,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,0.0,-5.627381597363877,0.0038354234442664,4,4,12,1,3
liquid_0130,liquid,PYA_30032021_BM067_2,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,10.0,-5.353225610022206,0.0050981423475756,4,4,12,1,3
liquid_0131,liquid,PYA_30032021_BM067_2,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,20.0,-5.09777376645278,0.0063234333606068,4,4,12,1,3
liquid_0132,liquid,PYA_30032021_BM067_2,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,30.0,-4.859175087558888,0.0086558297605307,4,4,12,1,3
liquid_0133,liquid,PYA_30032021_BM067_2,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,40.0,-4.635815027786432,0.009936708755924,4,4,12,1,3
liquid_0134,liquid,PYA_30032021_BM067_2,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,50.0,-4.426278892493164,0.0100468778565603,4,4,12,1,3
liquid_0135,liquid,PYA_30032021_BM067_2,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,60.0,-4.229321843815129,0.0137301856752248,4,4,12,1,3
liquid_0136,liquid,PYA_30032021_BM067_4,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,-30.0,-6.559321648582458,0.0011969802468006,4,4,12,1,3
liquid_0137,liquid,PYA_30032021_BM067_4,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,-20.0,-6.213018092286195,0.001988931803392,4,4,12,1,3
liquid_0138,liquid,PYA_30032021_BM067_4,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,-10.0,-5.893034395864241,0.0029781286087363,4,4,12,1,3
liquid_0139,liquid,PYA_30032021_BM067_4,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,0.0,-5.596479855321619,0.0040153423738702,4,4,12,1,3
liquid_0140,liquid,PYA_30032021_BM067_4,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,10.0,-5.3208721302861575,0.0053558139778157,4,4,12,1,3
liquid_0141,liquid,PYA_30032021_BM067_4,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,20.0,-5.064067593040937,0.0067198944709994,4,4,12,1,3
liquid_0142,liquid,PYA_30032021_BM067_4,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,30.0,-4.824205463003055,0.0084250927726045,4,4,12,1,3
liquid_0143,liquid,PYA_30032021_BM067_4,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,40.0,-4.5996626451183165,0.0099049601763307,4,4,12,1,3
liquid_0144,liquid,PYA_30032021_BM067_4,PC:4.2848g | EC:1.0666g | EMC:5.2959g | LiPF6:1.6975g,50.0,-4.389016953514548,0.0119144541635108,4,4,12,1,3
