"phase","experiment_id","formulation","temperature_c","pc_g","ec_g","emc_g","lipf6_g","ionic_conductivity_s_cm","ln_ionic_conductivity"
"liquid","PYA_30032021_BM057_3","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","50.0","2.7017","0.345","7.209","2.403","0.0105594469022151","-4.464226884611497"
"liquid","PYA_30032021_BM057_3","PC:2.7017g | EC:0.345g | EMC:7.209g | LiPF6:2.403g","60.0","2.7017","0.345","7.209","2.403","0.014642888493187","-4.245102730609627"
"liquid","PYA_30032021_BM066_1","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","-30.0","3.1775","2.1231","5.3032","1.6989","0.0010627602544561","-6.752406687717451"
"liquid","PYA_30032021_BM066_1","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","-20.0","3.1775","2.1231","5.3032","1.6989","0.0017037588944756","-6.362065251600554"
"liquid","PYA_30032021_BM066_1","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","-10.0","3.1775","2.1231","5.3032","1.6989","0.0024969104216789","-6.001390654633714"
"liquid","PYA_30032021_BM066_1","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","0.0","3.1775","2.1231","5.3032","1.6989","0.0032720422254824","-5.667124594878431"
"liquid","PYA_30032021_BM066_1","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","10.0","3.1775","2.1231","5.3032","1.6989","0.0049706895040847","-5.356469063800902"
"liquid","PYA_30032021_BM066_1","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","20.0","3.1775","2.1231","5.3032","1.6989","0.0065875381244391","-5.067007838101337"
"liquid","PYA_30032021_BM066_1","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","30.0","3.1775","2.1231","5.3032","1.6989","0.0112844385901247","-4.796643510023385"
"liquid","PYA_30032021_BM066_1","PC:3.1775g | EC:2.1231g | EMC:5.3032g | LiPF6:1.6989g","40.0","3.1775","2.1231","5.3032","1.6989","0.0117964175967071","-4.543546582748749"
