phase,formula,temperature_c,ionic_conductivity_s_cm,log10_ionic_conductivity,family,chemical_family,source_doi
solid,Li1.3Fe0.3Ti1.7(PO4)3,25,2.300000E-03,-2.638272164,NASICON,Halides,10.1016/j.ssi.2014.07.018
solid,Li1.3Ga0.3Ti1.7(PO4)3,25,2.610000E-04,-3.583359493,NASICON,Halides,10.1149/1.2086597
solid,Li1.3In0.3Ti1.7(PO4)3,25,3.930000E-04,-3.405607450,NASICON,Halides,10.1149/1.2086597
solid,Li1.3La0.3Ti1.7(PO4)3,25,5.230000E-04,-3.281498311,NASICON,Halides,10.1149/1.2086597
solid,Li1.4Al0.4Ge1.6(PO4)3,25,1.880000E-04,-3.725842151,NASICON,Halides,10.1021/acsami.8b00842
solid,Li1.4Al0.4Ti1.6 (PO4)3,25,3.380000E-03,-2.471083300,NASICON,Halides,10.1016/j.jeurceramsoc.2014.11.023
solid,Li1.4Al0.4Ti1.6(PO4)3,25,3.880000E-04,-3.411168274,NASICON,Halides,10.1149/1.2086597
solid,Li1.4Al0.4Ti1.6(PO4)3,25,3.300000E-03,-2.481486060,NASICON,Halides,10.1016/j.ssi.2014.07.018
solid,Li1.4Al0.4Ti1.6(PO4)3,25,1.120000E-03,-2.950781977,NASICON,Halides,10.1016/j.materresbull.2007.08.007
solid,Li1.4Ga0.4Ti1.6(PO4)3,25,1.280000E-04,-3.892790030,NASICON,Halides,10.1149/1.2086597
solid,Li1.4La0.4Ti1.6(PO4)3,25,4.980000E-04,-3.302770657,NASICON,Halides,10.1149/1.2086597
solid,Li1.5Al0.5Ge1.5(PO4)3,25,3.360000E-04,-3.473660723,NASICON,Halides,10.1021/acsami.8b00842
solid,Li1.5Al0.5Ge1.5(PO4)3,25,1.900000E-04,-3.721246399,NASICON,Halides,10.1016/j.jeurceramsoc.2014.11.023
solid,Li1.5Al0.5Ti1.5(PO4)3,25,2.480000E-04,-3.605548319,NASICON,Halides,10.1149/1.2086597
solid,Li1.5Ga0.5Ti1.5(PO4)3,25,1.220000E-04,-3.913640169,NASICON,Halides,10.1149/1.2086597
solid,Li1.5La0.5Ti1.5(PO4)3,25,2.810000E-04,-3.551293680,NASICON,Halides,10.1149/1.2086597
solid,Li1.6Al0.6Ge1.4(PO4)3,25,2.840000E-04,-3.546681660,NASICON,Halides,10.1021/acsami.8b00842
solid,Li1.6Al0.6Ti1.4(PO4)3,25,2.300000E-05,-4.638272164,NASICON,Halides,10.1016/s0955-2219(99)00055-2
solid,Li1.7Al0.3Ti1.6(PO4)3,25,1.220000E-03,-2.913640169,NASICON,Halides,10.1016/s0167-2738(00)00493-8
solid,Li1.7Al0.7Ge1.3(PO4)3,25,2.640000E-04,-3.578396073,NASICON,Halides,10.1021/acsami.8b00842
solid,Li1.8Al0.8Ge1.2(PO4)3,25,1.370000E-04,-3.863279433,NASICON,Halides,10.1021/acsami.8b00842
solid,Li2.5V2(PO4)3,25,1.900000E-07,-6.721246399,NASICON,Halides,10.1021/cm034802f
solid,LiGe2(PO4)3,25,3.330000E-07,-6.477555766,NASICON,Halides,10.1002/chin.199345017
solid,LiGe2(PO4)3,25,4.830000E-09,-8.316052869,NASICON,Halides,10.1021/acsami.8b00842
solid,LiHf2(PO4)3,25,2.830000E-07,-6.548213564,NASICON,Halides,10.1002/chin.199345017
solid,LiHf2(PO4)3,25,6.850000E-07,-6.164309429,NASICON,Halides,10.1016/0167-2738(93)90387-i
solid,LiTi2(PO4)3,25,1.610000E-04,-3.793174124,NASICON,Halides,10.1021/ic400577v
solid,LiTi2(PO4)3,25,2.000000E-06,-5.698970004,NASICON,Halides,10.1149/1.2086597
solid,LiTi2(PO4)3,25,6.000000E-05,-4.221848750,NASICON,Halides,10.1016/j.ssi.2014.07.018
solid,LiZr2(PO4)3,25,1.000000E-09,-9.000000000,NASICON,Halides,10.1016/0025-5408(86)90194-7
solid,Li5.4La3Nb1.8Y0.75O12,25,2.510000E-05,-4.600326279,OBELiX,Halides,10.1021/jp304737x
solid,Li6.5La3Zr1.5Ta0.5O12,25,9.200000E-04,-3.036212173,OBELiX,Halides,10.1039/c2jm31413d
solid,Li6.6La3Zr1.6Ta0.4O12,25,7.300000E-04,-3.136677140,OBELiX,Halides,10.1039/c2jm31413d
solid,Li6.8La3Zr1.8Ta0.2O12,25,2.800000E-04,-3.552841969,OBELiX,Halides,10.1039/c2jm31413d
solid,Li6Ge2O7,25,8.500000E-07,-6.070581074,OBELiX,Halides,10.4028/www.scientific.net/msf.76.107
solid,Li6La3ZrTaO12,25,1.600000E-04,-3.795880017,OBELiX,Halides,10.1039/c2jm31413d
solid,Li7La3Zr2O12,25,1.200000E-04,-3.920818754,OBELiX,Halides,10.1039/c2jm31413d
solid,Li7La3Zr2O12,25,1.970000E-06,-5.705533774,OBELiX,Halides,10.1039/c1cp22108f
solid,Li7La3Zr2O12,25,5.690000E-04,-3.244887734,OBELiX,Halides,10.1016/j.ssi.2010.12.010
solid,LiBO2,25,1.000000E-08,-8.000000000,OBELiX,Halides,10.1140/epjst/e2008-00753-4
solid,LiClC3H7NO,25,1.600000E-04,-3.795880017,OBELiX,Halides,10.1021/acs.chemmater.5b00940
solid,LiV(PO4)F,25,8.100000E-07,-6.091514981,Tavorite,Halides,10.1016/j.ssi.2013.04.002
solid,Li2(OH)0.9F0.1Cl,25,3.860000E-05,-4.413412695,antiperovskite,Halides,10.1002/anie.201604554
solid,Li2(OH)Br,25,1.200000E-06,-5.920818754,antiperovskite,Halides,10.1002/ange.201604554
solid,Li3ClO,25,2.500000E-02,-1.602059991,antiperovskite,Halides,10.1039/c3ta15087a
solid,LiCe(BH4)3Cl,25,1.030000E-04,-3.987162775,argyrodites,Halides,10.1021/cm300792t
solid,Li4B7O12Cl,25,2.000000E-06,-5.698970004,boracites,Halides,10.1107/s0567740877009443
solid,Li3BN2,25,8.700000E-08,-7.060480747,boron nitride,Halides,10.1016/0022-4596(87)90135-6
solid,Li1.65Mn0.65In0.35Cl4,25,9.900000E-08,-7.004364805,chlorides,Halides,10.1016/s0167-2738(96)00592-9
solid,Li1.9Mn0.9Ga0.1Cl4,25,2.370000E-07,-6.625251654,chlorides,Halides,10.1016/s0167-2738(96)00592-9
solid,Li2CdCl4,25,5.800000E-07,-6.236572006,chlorides,Halides,10.1016/0025-5408(81)90142-2
solid,Li2MgCl4,25,6.240000E-07,-6.204815410,chlorides,Halides,10.1016/0167-2738(83)90223-0
solid,Li2MnCl4,25,4.790000E-06,-5.319664487,chlorides,Halides,10.1016/0167-2738(83)90223-0
solid,Li2VCl4,25,6.950000E-06,-5.158015195,cholorides,Halides,10.1016/0167-2738(83)90223-0
solid,Li6CuB4O10,25,1.000000E-13,-13.000000000,copper pyroborate,Halides,10.1021/acs.inorgchem.8b01785
solid,Li3AlF6,25,5.000000E-07,-6.301029996,fluorides,Halides,10.1149/2.012206eel
solid,LiB6O9F,25,1.000000E-10,-10.000000000,fluorooxoborate,Halides,10.1002/zaac.200900056
solid,(Li6.26Al0.24)La3Zr2O12,25,2.100000E-04,-3.677780705,garnet,Halides,10.1016/j.ssi.2015.04.011
solid,Fe0.16La2.95Li5.68Zr2O12,25,9.350000E-04,-3.029188389,garnet,Halides,10.1021/acs.chemmater.6b02516
solid,Fe0.19La2.95Li5.57Zr2O12,25,1.380000E-03,-2.860120914,garnet,Halides,10.1021/acs.chemmater.6b02516
solid,La3Li5.08Ta1.51Zr0.39O12,25,1.030000E-04,-3.987162775,garnet,Halides,10.1002/aenm.201570062|10.1002/aenm.201500096
solid,La3Zr2Ga0.5Li5.5O12,25,1.000000E-04,-4.000000000,garnet,Halides,10.1039/c2dt31318a
solid,Li3Nd3Te2O12,25,1.000000E-10,-10.000000000,garnet,Halides,10.1021/cm060992t
solid,Li49.6Al1.6La24Zr14.4Ta1.6O96,25,6.140000E-04,-3.211831629,garnet,Halides,10.1038/srep18053
solid,Li5.25Ba0.25La2.75Ta2O12,25,7.410000E-06,-5.130181792,garnet,Halides,10.1007/s11581-007-0097-8
solid,Li5.2La3Nb1.9Y0.1O12,25,6.390000E-05,-4.194499142,garnet,Halides,10.1021/jp304737x
solid,Li5.4La3Nb1.8Y0.2O12,25,6.740000E-05,-4.171340103,garnet,Halides,10.1021/jp304737x
solid,Li5.5Ba0.5La2.5Ta2O12,25,1.410000E-05,-4.850780887,garnet,Halides,10.1007/s11581-007-0097-8
solid,Li5.5La2.75K0.25Nb2O12,25,1.060000E-05,-4.974694135,garnet,Halides,10.1016/j.jssc.2005.12.025
